"2-90%.txt","0","50","0","1","1","12","0"
"1-70%.txt","0","48","2","1","2","55","1"
"3-80%.txt","0","49","1","2","2","31","0"
"5-70%.txt","5","8","37","27","83","705","20"
"2-95%.txt","0","49","1","1","1","8","0"
"4-85%.txt","0","42","8","8","10","91","0"
"2-70%.txt","0","48","2","1","2","55","1"
"2-80%.txt","0","49","1","2","2","31","0"
"1-85%.txt","0","50","0","2","1","22","0"
"5-85%.txt","2","21","27","18","40","332","6"
"5-90%.txt","4","24","22","14","27","229","5"
"1-80%.txt","0","49","1","2","2","31","0"
"1-95%.txt","0","49","1","1","1","8","0"
"4-70%.txt","2","33","15","11","19","207","5"
"3-70%.txt","0","48","2","1","2","55","1"
"4-95%.txt","0","47","3","2","3","37","0"
"5-95%.txt","2","35","13","3","15","113","1"
"2-85%.txt","0","50","0","2","1","22","0"
"1-90%.txt","0","50","0","1","1","12","0"
"3-95%.txt","0","49","1","1","1","8","0"
"3-90%.txt","0","50","0","1","1","12","0"
"5-80%.txt","1","14","35","24","56","452","10"
"3-85%.txt","0","50","0","2","1","22","0"
"4-80%.txt","1","38","11","10","14","131","1"
"4-90%.txt","0","47","3","5","4","62","0"
